,Series,k,delta,centroidNum,Mean,stdDev,count
325,5,81,0.5,1,8.72119953171303,11.532728569425416,7
326,5,81,0.5,2,4.16443409961309,3.118471574178232,22
327,5,81,0.5,3,,,0
328,5,81,0.5,4,5.737931301249939,3.862066350770241,11
329,5,81,0.5,5,4.95497993258197,3.067706020769992,11
330,5,81,0.5,6,,,0
331,5,81,0.5,7,,,0
332,5,81,0.5,8,,,0
333,5,81,0.5,9,,,0
334,5,81,0.5,10,,,0
335,5,81,0.5,11,4.094005611369484,2.296978662071319,9
336,5,81,0.5,12,,,0
337,5,81,0.5,13,,,0
338,5,81,0.5,14,4.175429856831509,2.751730394999475,10
339,5,81,0.5,15,,,0
340,5,81,0.5,16,,,0
341,5,81,0.5,17,,,0
342,5,81,0.5,18,,,0
343,5,81,0.5,19,,,0
344,5,81,0.5,20,32.13594102416464,,1
345,5,81,0.5,21,,,0
346,5,81,0.5,22,,,0
347,5,81,0.5,23,,,0
348,5,81,0.5,24,,,0
349,5,81,0.5,25,,,0
350,5,81,0.5,26,,,0
351,5,81,0.5,27,,,0
352,5,81,0.5,28,,,0
353,5,81,0.5,29,5.6295728712986435,4.675542087172953,8
354,5,81,0.5,30,,,0
355,5,81,0.5,31,,,0
356,5,81,0.5,32,5.015430474329959,2.727566214201148,7
357,5,81,0.5,33,,,0
358,5,81,0.5,34,,,0
359,5,81,0.5,35,,,0
360,5,81,0.5,36,,,0
361,5,81,0.5,37,,,0
362,5,81,0.5,38,2.90342800121778,1.891904436880778,7
363,5,81,0.5,39,2.929963579254009,3.1648480006522295,8
364,5,81,0.5,40,,,0
365,5,81,0.5,41,0.955355060777464,,1
366,5,81,0.5,42,,,0
367,5,81,0.5,43,,,0
368,5,81,0.5,44,,,0
369,5,81,0.5,45,,,0
370,5,81,0.5,46,,,0
371,5,81,0.5,47,1.807273763785794,1.436239856352827,4
372,5,81,0.5,48,,,0
373,5,81,0.5,49,,,0
374,5,81,0.5,50,,,0
375,5,81,0.5,51,,,0
376,5,81,0.5,52,,,0
377,5,81,0.5,53,,,0
378,5,81,0.5,54,,,0
379,5,81,0.5,55,,,0
380,5,81,0.5,56,,,0
381,5,81,0.5,57,,,0
382,5,81,0.5,58,,,0
383,5,81,0.5,59,,,0
384,5,81,0.5,60,,,0
385,5,81,0.5,61,,,0
386,5,81,0.5,62,,,0
387,5,81,0.5,63,,,0
388,5,81,0.5,64,,,0
389,5,81,0.5,65,,,0
390,5,81,0.5,66,,,0
391,5,81,0.5,67,,,0
392,5,81,0.5,68,,,0
393,5,81,0.5,69,,,0
394,5,81,0.5,70,,,0
395,5,81,0.5,71,,,0
396,5,81,0.5,72,,,0
397,5,81,0.5,73,,,0
398,5,81,0.5,74,,,0
399,5,81,0.5,75,,,0
400,5,81,0.5,76,,,0
401,5,81,0.5,77,,,0
402,5,81,0.5,78,,,0
403,5,81,0.5,79,,,0
404,5,81,0.5,80,,,0
405,5,81,0.5,81,,,0
