LE,Predicted LE,Error,Health_Expenditure,GDP_Per_Capita,Education,Unemployment
78.95365854,74.37990639365297,4.573752146347033,0.17773888360557505,0.218690663602656,0.5294607311702394,0.2942518062557868
75.28780488,74.70544026398557,0.5823646160144307,0.12996750766589488,0.11435805933569952,0.5143919146148902,0.4712482355415316
73.955,61.39987468546638,12.555125314533619,0.023815620808292002,0.039710927199959,0.3600237343700823,0.4480443637080736
72.445,109.94065473384275,37.495654733842755,0.0646969532367416,0.09834387270738937,0.7001911017453534,0.612687189882687
78.194,78.8052810602279,0.6112810602278955,0.07473847732734844,0.08929823984312586,0.5268238035768898,0.4053992031230543
73.51219512,72.84408806690229,0.6681070530977138,0.10508676141933786,0.12222060367091744,0.5228750696724985,0.27204930768330593
78.84146341,71.47768819165134,7.363775218348664,0.1965479704796766,0.2298456181320813,0.5303092714095148,0.2486403372711085
70.928,66.29121446196748,4.6367855380325125,0.0455923562746146,0.07767944269514444,0.4201162093451357,0.3496311655726827
80.15121951,75.54179071480553,4.609428795194475,0.1861454014026219,0.21717941096397494,0.5472003732231389,0.3007295501824285
73.638,68.59955678307992,5.038443216920086,0.03275020658033912,0.0596997330652649,0.4286306688578124,0.3873154818383653
70.76097561,81.2696145305894,10.50863892058939,0.050287670307517976,0.09512660656812466,0.5263938569219346,0.3676420159470464
72.117,83.8765703614025,11.759570361402496,0.032069690477703465,0.0444451760116316,0.4346457227800711,0.8397512430782063
75.406,74.65008777014476,0.755912229855241,0.08653639578801414,0.10107551348901736,0.413642065331364,0.6982042827799022
76.046,74.1958357795366,1.8501642204634123,0.10467792311990227,0.10733939614771544,0.5409310740949693,0.2872774294207094
76.32682927,81.37950736994955,5.052678099949546,0.1513079687603261,0.20949293106568986,0.5729796351835111,0.2650776336894721
78.27199999999998,78.06826321956056,0.20373678043941368,0.11421772942962248,0.13067822543022264,0.5698489681676175,0.2650479553374185
50.629,64.47881404013785,13.84981404013785,0.046339120939924316,0.08394427837372613,0.3804651984895539,0.4232130116743896
71.18,72.517348513022,1.3373485130219933,0.053694225522389706,0.048770389458972274,0.4442423395231214,0.5535831110130554
74.02600000000002,72.18182210661024,1.8441778933897837,0.03822705162650964,0.06987493480913681,0.4614975471196257,0.3648322858882756
74.45100000000002,79.92296358825197,5.471963588251953,0.1046483697395654,0.12503928867922914,0.5676358657693167,0.3051533236983024
74.9097561,68.80555425829121,6.104201841708786,0.1840364316737416,0.1950869716116312,0.5033221459691962,0.3191749477389701
74.85853659,70.68917474416938,4.169361845830622,0.17232402579481626,0.18559038596085786,0.5211303359474135,0.2922841945107494
74.16341463,72.67577098118961,1.4876436488103906,0.11085420473522556,0.1255145409406404,0.5175703713849659,0.2985055139992549
74.84634146,83.52634720748787,8.680005747487868,0.07711383781056029,0.13330959504447204,0.5024859510441125,0.5093886693575275
74.20487805,71.25037718247165,2.9545008675283526,0.12906976187260125,0.1761239768415491,0.4688651204700285,0.3555421087917133
